ImageID,Source,LabelName,Confidence
000026e7ee790996,machine,/m/03d1rd,1.0
000026e7ee790996,machine,/m/07yr8h,0.9
000026e7ee790996,machine,/m/012ww9,0.9
000026e7ee790996,machine,/m/0d7v_,0.9
000026e7ee790996,machine,/m/0djmp,0.8
000026e7ee790996,machine,/m/0cgh4,0.8
000026e7ee790996,machine,/m/09qqq,0.8
000026e7ee790996,machine,/m/01cbzq,0.8
000026e7ee790996,machine,/m/01czv3,0.7
000026e7ee790996,machine,/m/0d5gx,0.6
000026e7ee790996,machine,/m/01_m7,0.6
000026e7ee790996,machine,/m/08g_yr,0.6
000026e7ee790996,machine,/m/0cfkj,0.6
000026e7ee790996,machine,/m/0bysjw,0.6
000026e7ee790996,machine,/m/01v4jb,0.5
000026e7ee790996,machine,/m/03g3w,0.5
000026e7ee790996,machine,/m/056wv,0.5
000062a39995e348,machine,/m/015p6,1.0
000062a39995e348,machine,/m/01c4rd,0.9
000062a39995e348,machine,/m/09686,0.9
000062a39995e348,machine,/m/01rd7k,0.9
000062a39995e348,machine,/m/0jbk,0.9
000062a39995e348,machine,/m/035qhg,0.8
000062a39995e348,machine,/m/01280g,0.8
000062a39995e348,machine,/m/0h29c,0.7
000062a39995e348,machine,/m/01rcl8,0.7
